name,category,address,coordinates,website,country_code,related_store_external_id
Wat Santinivas (Stockholm/Varmdo),Temple,Wat Santinivas (Stockholm/Varmdo),"59.20125942844478, 18.193443920236682",www.stm-society.com,SE,SE09-5918
Wat Buddhavihara Berlin Germany,Temple,"Malchower Str. 23-25, 13089 Berlin Heinersdorf","52.56996059964629, 13.445890781617356",www.stm-society.com,DE,DE04-5213
Wat Thai Munich,Temple,"Bad-Dürkheimer-Straße 14, 81539 München, Germany","48.112653637874836, 11.59861192209073",www.stm-society.com,DE,DE05-4811
Thai Garden Festival 2025,Market,German-French Garden.,"53.01113731126086, 9.945017502922099",www.stm-society.com,DE,DE06-5394
Watpa Copenhagen,Temple,"Rytterager 100, 2791 Dragøer DENMARK","55.59227592573488, 12.647242454970439",www.stm-society.com,DK,DK02-5512
Wat Thai Norway,Temple,"Trondheimsveien 582, 2016 Frogner, Norway","60.05058436799274, 11.118753312907076",www.stm-society.com,NO,NO01-6011
Wat Buddhapadipa,Temple,"14 Calonne Rd, London SW19 5HJ, United Kingdom","51.4310819840106, -0.22031803759255145",www.stm-society.com,UK,UK01-5100
Wat Phra Singh Cheshire,Temple,"88 High St, Runcorn WA7 1JH, United Kingdom","53.34117160779181, -2.736708889335299",www.stm-society.com,UK,UK02-5311
Magic of Thailand Festival 2025,Market,"Ealing Common,London","51.5108029200192, -0.287483216171888",www.stm-society.com,UK,UK03-5100
Thailand Showcase 2025,Market,"Lewis Cubitt Square, King’s Cross.","51.53724071328954, -0.12564332991578278",www.stm-society.com,UK,UK04-5111
Wat Thammapathip,Temple,"Château de Lugny, 243 Rue des Marronniers, 77550 Moissy-Cramayel, France","48.62525776886141, 2.585446497224003",www.stm-society.com,FR,FR01-4802
Wat Srinagarindrawararam,Temple,"Gretzenbach, Switzerland","47.358481, 7.950069",www.stm-society.com,CH,CH01-4707
Wat Thai Rattanaprateep Budapest,Temple,"Budapest, Batthyány u. 51, 1161 Hungary","47.52019713588717, 19.159304539491348",www.stm-society.com,HU,HU01-4719